iter	Passed	Remaining
0	130	130225
1	132	66086
2	134	44590
3	135	33856
4	138	27463
5	139	23187
6	141	20105
7	143	17775
8	144	15953
9	146	14520
10	148	13329
11	150	12369
12	152	11552
13	153	10838
14	155	10210
15	157	9669
16	159	9194
17	160	8779
18	162	8391
19	164	8038
20	165	7722
21	167	7437
22	168	7165
23	170	6920
24	171	6701
25	173	6496
26	175	6310
27	176	6136
28	178	5969
29	179	5815
30	181	5683
31	184	5567
32	185	5442
33	187	5318
34	188	5207
35	190	5107
36	192	5006
37	193	4909
38	195	4819
39	197	4733
40	198	4651
41	200	4576
42	202	4497
43	203	4427
44	205	4357
45	207	4295
46	208	4231
47	210	4175
48	212	4117
49	213	4062
50	215	4004
51	216	3950
52	218	3901
53	219	3852
54	221	3806
55	223	3761
56	224	3719
57	226	3673
58	227	3631
59	229	3592
60	231	3558
61	232	3520
62	234	3486
63	236	3452
64	237	3416
65	238	3380
66	240	3348
67	242	3317
68	243	3289
69	245	3260
70	247	3233
71	248	3206
72	250	3179
73	251	3152
74	253	3131
75	255	3107
76	257	3083
77	258	3056
78	260	3032
79	261	3009
80	263	2985
81	264	2963
82	265	2936
83	267	2917
84	269	2897
85	270	2877
86	272	2857
87	274	2839
88	275	2819
89	277	2801
90	278	2783
91	280	2766
92	281	2749
93	283	2732
94	285	2718
95	286	2701
96	288	2685
97	290	2670
98	291	2653
99	293	2641
100	295	2626
101	296	2610
102	298	2596
103	299	2582
104	301	2568
105	302	2555
106	304	2543
107	306	2529
108	307	2515
109	309	2502
110	311	2494
111	313	2487
112	315	2478
113	319	2479
114	320	2469
115	322	2456
116	323	2442
117	325	2432
118	327	2422
119	328	2410
120	331	2409
121	334	2404
122	336	2398
123	339	2398
124	341	2388
125	343	2379
126	344	2369
127	346	2360
128	348	2350
129	349	2339
130	351	2329
131	352	2318
132	354	2309
133	355	2300
134	357	2291
135	359	2282
136	361	2275
137	363	2267
138	364	2258
139	366	2251
140	368	2245
141	369	2234
142	371	2226
143	372	2216
144	374	2208
145	376	2200
146	377	2190
147	378	2181
148	380	2172
149	381	2163
150	383	2156
151	385	2148
152	386	2139
153	387	2129
154	389	2122
155	390	2113
156	391	2104
157	393	2096
158	394	2088
159	396	2079
160	397	2070
161	398	2062
162	400	2055
163	401	2048
164	403	2041
165	404	2034
166	406	2027
167	408	2021
168	409	2015
169	411	2009
170	413	2002
171	414	1995
172	415	1988
173	417	1983
174	419	1977
175	421	1971
176	422	1964
177	424	1960
178	426	1954
179	427	1948
180	429	1941
181	430	1935
182	432	1928
183	433	1921
184	434	1914
185	436	1909
186	438	1904
187	439	1897
188	441	1892
189	442	1886
190	444	1881
191	445	1876
192	447	1869
193	448	1863
194	450	1859
195	452	1854
196	453	1848
197	455	1843
198	456	1837
199	457	1831
200	459	1825
201	460	1819
202	462	1814
203	463	1808
204	465	1803
205	466	1797
206	467	1792
207	469	1787
208	470	1781
209	472	1775
210	473	1770
211	474	1764
212	476	1760
213	477	1755
214	479	1749
215	480	1744
216	481	1738
217	483	1733
218	484	1727
219	486	1723
220	487	1719
221	489	1715
222	490	1710
223	492	1705
224	493	1700
225	495	1695
226	496	1690
227	497	1685
228	499	1681
229	500	1676
230	502	1672
231	503	1667
232	505	1663
233	506	1659
234	508	1654
235	509	1649
236	511	1645
237	512	1640
238	513	1635
239	515	1631
240	516	1626
241	517	1622
242	519	1618
243	520	1613
244	522	1609
245	523	1605
246	525	1600
247	526	1595
248	527	1590
249	528	1586
250	530	1582
251	531	1577
252	532	1573
253	534	1568
254	535	1564
255	536	1560
256	538	1556
257	539	1551
258	540	1547
259	542	1543
260	543	1540
261	545	1536
262	546	1532
263	548	1528
264	549	1523
265	550	1519
266	551	1515
267	553	1511
268	554	1507
269	556	1503
270	557	1499
271	559	1496
272	560	1492
273	562	1489
274	563	1485
275	565	1482
276	566	1478
277	567	1474
278	569	1470
279	570	1467
280	572	1464
281	573	1460
282	575	1457
283	576	1453
284	578	1450
285	579	1446
286	580	1442
287	582	1438
288	583	1435
289	585	1432
290	586	1429
291	587	1425
292	589	1422
293	590	1418
294	592	1415
295	593	1411
296	595	1408
297	596	1405
298	598	1402
299	599	1398
300	601	1395
301	602	1392
302	603	1388
303	605	1385
304	606	1382
305	607	1378
306	609	1375
307	610	1372
308	612	1369
309	613	1365
310	615	1362
311	616	1359
312	617	1356
313	619	1353
314	620	1350
315	622	1346
316	624	1344
317	625	1341
318	627	1338
319	628	1335
320	629	1332
321	631	1329
322	632	1325
323	633	1322
324	635	1319
325	636	1316
326	638	1313
327	639	1310
328	641	1307
329	642	1304
330	643	1301
331	645	1298
332	646	1295
333	647	1291
334	649	1289
335	650	1286
336	652	1283
337	653	1280
338	655	1277
339	656	1275
340	658	1272
341	659	1269
342	661	1266
343	662	1263
344	663	1260
345	665	1258
346	667	1255
347	668	1252
348	669	1249
349	671	1246
350	672	1243
351	673	1240
352	675	1237
353	676	1234
354	677	1231
355	679	1229
356	680	1226
357	682	1223
358	683	1220
359	685	1217
360	686	1215
361	687	1211
362	689	1209
363	690	1206
364	691	1203
365	693	1201
366	694	1198
367	696	1196
368	697	1193
369	699	1190
370	700	1188
371	702	1185
372	704	1183
373	706	1182
374	707	1179
375	709	1176
376	710	1174
377	712	1171
378	713	1168
379	714	1166
380	716	1163
381	717	1160
382	719	1158
383	720	1155
384	721	1153
385	723	1150
386	724	1147
387	725	1145
388	727	1142
389	728	1139
390	729	1136
391	731	1134
392	733	1132
393	734	1129
394	735	1127
395	737	1124
396	738	1121
397	739	1118
398	741	1116
399	742	1114
400	743	1111
401	745	1109
402	747	1106
403	748	1104
404	750	1102
405	751	1099
406	752	1097
407	754	1094
408	755	1091
409	757	1089
410	758	1087
411	759	1084
412	761	1082
413	762	1079
414	764	1077
415	765	1074
416	766	1072
417	768	1070
418	769	1067
419	771	1065
420	773	1063
421	774	1060
422	775	1058
423	777	1056
424	778	1053
425	780	1051
426	781	1048
427	782	1046
428	784	1043
429	785	1041
430	787	1039
431	788	1036
432	790	1034
433	791	1032
434	792	1029
435	794	1027
436	795	1025
437	797	1022
438	798	1021
439	800	1018
440	801	1016
441	803	1013
442	804	1011
443	805	1009
444	807	1006
445	808	1004
446	810	1002
447	811	999
448	812	997
449	814	995
450	815	993
451	817	990
452	818	988
453	820	986
454	821	983
455	822	981
456	824	979
457	825	977
458	827	974
459	828	972
460	830	970
461	831	968
462	832	965
463	834	963
464	835	961
