iter	Passed	Remaining
0	119	119659
1	121	60484
2	122	40835
3	124	31030
4	126	25167
5	128	21230
6	129	18408
7	131	16290
8	133	14695
9	134	13359
10	136	12276
11	138	11368
12	139	10588
13	141	9935
14	142	9365
15	144	8864
16	145	8420
17	147	8039
18	148	7688
19	150	7368
20	151	7085
21	153	6825
22	155	6587
23	156	6367
24	158	6168
25	159	5982
26	161	5814
27	162	5655
28	164	5508
29	165	5365
30	167	5234
31	168	5108
32	170	4990
33	171	4884
34	173	4781
35	175	4690
36	176	4599
37	178	4510
38	179	4428
39	181	4348
40	182	4270
41	184	4197
42	185	4126
43	186	4056
44	187	3989
45	189	3938
46	191	3883
47	193	3832
48	194	3777
49	196	3725
50	197	3675
51	198	3627
52	200	3582
53	201	3537
54	203	3499
55	205	3463
56	207	3424
57	208	3386
58	210	3349
59	211	3315
60	213	3281
61	214	3250
62	216	3218
63	217	3185
64	219	3157
65	221	3131
66	222	3101
67	224	3073
68	225	3045
69	227	3019
70	228	2993
71	230	2966
72	231	2940
73	232	2915
74	234	2891
75	235	2868
76	237	2848
77	239	2825
78	240	2804
79	241	2782
80	243	2763
81	244	2741
82	245	2713
83	246	2692
84	248	2671
85	250	2658
86	251	2642
87	253	2625
88	254	2608
89	256	2592
90	257	2575
91	259	2558
92	260	2540
93	261	2524
94	263	2510
95	265	2497
96	266	2483
97	268	2469
98	269	2455
99	271	2440
100	272	2427
101	274	2414
102	276	2404
103	277	2390
104	279	2383
105	281	2371
106	282	2358
107	284	2346
108	285	2334
109	287	2323
110	288	2312
111	290	2300
112	291	2289
113	292	2276
114	294	2266
115	296	2256
116	297	2245
117	299	2234
118	300	2224
119	301	2214
120	303	2203
121	304	2191
122	305	2180
123	307	2172
124	309	2164
125	310	2156
126	312	2146
127	313	2138
128	315	2130
129	317	2121
130	318	2112
131	320	2104
132	321	2095
133	322	2086
134	324	2079
135	326	2072
136	327	2064
137	329	2056
138	330	2048
139	332	2042
140	334	2035
141	335	2024
142	336	2016
143	338	2010
144	339	2003
145	341	1996
146	342	1990
147	344	1982
148	345	1976
149	347	1969
150	348	1962
151	350	1954
152	351	1948
153	353	1942
154	355	1936
155	357	1932
156	358	1924
157	359	1918
158	361	1912
159	363	1906
160	364	1899
161	365	1893
162	367	1886
163	369	1885
164	371	1881
165	373	1875
166	375	1871
